ngram	t	p	p corrected	#members	meanM	StdevM	#nonMembers	meanN	StDevN
coworkers	1.317019823	0.190977887	7.13E+03	96	48.10416667	16.71084058	37215	45.85398361	19.51857876
still	-1.311858363	0.191064582	7.13E+03	200	43.97	20.45215277	37124	45.87183493	19.50900985
abundance	1.472763652	0.191214889	7.13E+03	7	55.14285714	16.67761545	37304	45.85803131	19.51228385
flexibility	1.371146744	0.191889939	7.16E+03	15	52.4	18.47701275	37296	45.85714286	19.51221278
regardless	-1.677494632	0.192022817	7.16E+03	4	27.75	21.59282288	37307	45.86171496	19.51119804
kim	-1.368755562	0.192619478	7.19E+03	15	39.33333333	18.46876385	37297	45.86186557	19.51222703
passion	1.405184718	0.19351275	7.22E+03	10	54.3	18.99736824	37302	45.85716584	19.51176058
brown	-1.560624559	0.19361509	7.22E+03	5	31.4	20.71955598	37306	45.86171125	19.51142381
seriously	-1.404844421	0.193616187	7.22E+03	10	35.8	22.64606907	37302	45.86153557	19.5113366
pulled	1.433989965	0.194680693	7.26E+03	8	56.375	20.74289896	37303	45.85751816	19.51142947
debt	1.357208436	0.194762393	7.27E+03	16	51.375	16.25576821	37296	45.85767911	19.51295049
gas	-1.34784212	0.195374454	7.29E+03	18	40.55555556	16.69879257	37293	45.86233341	19.51311741
camp	-1.37110233	0.195421722	7.29E+03	13	38.69230769	18.84756667	37300	45.86091153	19.51238772
effort	1.336660311	0.195617861	7.30E+03	22	51.22727273	18.84000763	37289	45.85660651	19.51221175
liking	-1.42736637	0.19650802	7.33E+03	8	35.625	20.28326192	37303	45.86196821	19.51155214
pour	1.367350448	0.19655645	7.33E+03	13	52	16.19156159	37300	45.8580429	19.51247355
side	-1.314765727	0.196880874	7.35E+03	37	42.24324324	16.73719312	37274	45.8633632	19.51443204
questions	-1.372461992	0.197227942	7.36E+03	12	39.75	15.42209159	37299	45.86173892	19.51304747
center	1.404897853	0.19765649	7.37E+03	9	56	21.65640783	37302	45.85732668	19.51115444
raining	-1.370348672	0.197870805	7.38E+03	12	39.33333333	16.49977043	37299	45.86187297	19.51274408
ja	1.422140044	0.19796657	7.39E+03	8	58.25	24.64461691	37305	45.85779386	19.51115434
brings	-1.322387974	0.197993127	7.39E+03	26	40.88461538	19.19026195	37285	45.86324259	19.51204701
want	-1.291935686	0.198219397	7.40E+03	161	44.20496894	16.26695962	37159	45.86641191	19.52389805
feel	-1.287252694	0.198799855	7.42E+03	368	44.61956522	18.54596904	36955	45.87089704	19.5229288
pumpkin	1.400451419	0.198910636	7.42E+03	9	52	13.15294644	37303	45.85834919	19.51292554
due	1.313545143	0.198934982	7.42E+03	31	49.83870968	16.87028309	37280	45.85646459	19.51391996
cup	1.291693628	0.200574647	7.48E+03	73	48.52054795	17.61321283	37238	45.85455717	19.51541215
concert	1.326787456	0.201137735	7.50E+03	19	50.42105263	14.98634856	37292	45.85744932	19.5139349
healthy	-1.278375349	0.201738262	7.53E+03	466	44.73819742	19.06706106	36860	45.87479653	19.51921448
sandwich	1.407925824	0.201960897	7.54E+03	8	55.5	19.36860494	37303	45.85770581	19.5117915
ac	-1.364686256	0.2022487	7.55E+03	11	38.63636364	17.55717931	37300	45.86190349	19.51237897
chronic	1.521370083	0.202801639	7.57E+03	5	61.6	23.13655117	37306	45.85766365	19.51099971
jumped	1.622147738	0.203190447	7.58E+03	4	57.75	14.66003638	37307	45.85849841	19.51222869
singing	-1.361219686	0.203307648	7.59E+03	11	38.27272727	18.48832555	37300	45.86201072	19.51210767
recipe	1.427435007	0.203339302	7.59E+03	7	54.85714286	16.67761545	37304	45.85808492	19.51230897
leave	1.289098598	0.204080425	7.61E+03	45	49.26666667	17.73722331	37266	45.85565931	19.51391635
meds	-1.459479962	0.204238945	7.62E+03	6	32	23.26370564	37305	45.86200241	19.51093244
tim	-1.326762663	0.204418859	7.63E+03	16	38.5625	22.0059651	37295	45.86290387	19.51062267
d	1.307194516	0.204634465	7.64E+03	23	52.52173913	24.44821906	37289	45.85660651	19.50887983
moi	1.422520552	0.204697166	7.64E+03	7	55.14285714	17.26681375	37304	45.85803131	19.51220142
chinese	1.39801974	0.204782607	7.64E+03	8	53.625	15.71111981	37303	45.85810793	19.51258787
budget	1.376333901	0.205982532	7.69E+03	9	53	15.56438242	37302	45.85805051	19.51272124
rough	-1.352154785	0.206093506	7.69E+03	11	38.27272727	18.61231264	37300	45.86201072	19.51207606
offered	1.284709366	0.20645294	7.70E+03	40	49.475	17.80519587	37271	45.85589332	19.51362379
office	1.273419448	0.206540091	7.71E+03	81	48.54320988	18.98291955	37232	45.85421143	19.51264521
closet	-1.450367458	0.206614793	7.71E+03	6	37.66666667	13.83714807	37305	45.86109101	19.51264882
minha	1.413712843	0.207154454	7.73E+03	7	56.57142857	20.04875011	37304	45.85776324	19.51163617
success	1.358804463	0.207253566	7.73E+03	10	52.2	14.75578982	37301	45.85807351	19.51300703
overly	-1.595120256	0.208930158	7.80E+03	4	31.25	18.31893374	37307	45.86133969	19.511782
times	-1.266645089	0.209463364	7.82E+03	71	43.05633803	18.6684511	37243	45.86555863	19.51272435
catch	1.290435338	0.209702573	7.82E+03	24	50.54166667	17.77878356	37287	45.85675973	19.5129355
small	1.271943837	0.210373065	7.85E+03	43	49.44186047	18.47430948	37269	45.85610024	19.51297462
flower	-1.490063849	0.210400108	7.85E+03	5	38.4	11.19374826	37306	45.86077307	19.51278615
later	-1.289576903	0.211207141	7.88E+03	22	39.86363636	21.81370354	37290	45.86248324	19.51075195
along	1.261251795	0.211641038	7.90E+03	67	48.76119403	18.84553605	37244	45.85455375	19.51304807
half	1.280611635	0.212050693	7.91E+03	26	49.26923077	13.57514697	37285	45.85739574	19.51544272
unconditional	-1.271093486	0.212845638	7.94E+03	33	40.90909091	22.38632903	37278	45.8641558	19.50906985
dead	-1.353367663	0.212923481	7.94E+03	9	34.88888889	24.32305719	37302	45.86242025	19.51037209
christmas	-1.25311862	0.213158202	7.95E+03	98	43.45918367	18.99222216	37214	45.86663621	19.51324003
listens	1.276022171	0.21320831	7.96E+03	27	50.03703704	17.01465767	37284	45.8567482	19.51358168
door	1.261758591	0.213245105	7.96E+03	48	49.33333333	19.08473082	37263	45.85529882	19.51241007
savior	1.351445767	0.213512135	7.97E+03	9	56.88888889	24.48695798	37302	45.85711222	19.51032019
shared	1.27119188	0.213745355	7.98E+03	30	50.26666667	18.99534123	37281	45.85622703	19.51227149
cause	-1.291613437	0.213755968	7.98E+03	18	40.55555556	17.4262217	37293	45.86233341	19.51282745
return	-1.274207885	0.213841791	7.98E+03	27	41.55555556	17.55723242	37284	45.86289025	19.5132265
state	1.290076172	0.214268696	7.99E+03	18	50.33333333	14.71293948	37293	45.85761403	19.51394654
housework	-1.304754816	0.214582454	8.01E+03	14	39.5	18.24090922	37297	45.8621605	19.512315
everyday	1.249855257	0.214845881	8.02E+03	84	48.26190476	17.63014877	37227	45.85435302	19.51593479
current	-1.287024968	0.21529493	8.03E+03	18	42.05555556	12.53921952	37293	45.86160942	19.51470701
connecting	-1.321786485	0.215636396	8.05E+03	11	40.90909091	12.42138918	37300	45.86123324	19.51364582
cancelled	1.359407871	0.216174276	8.07E+03	8	58.875	27.08419413	37303	45.85698201	19.50964754
lights	-1.381500275	0.216346442	8.07E+03	7	36.42857143	18.06338048	37304	45.861543	19.51207209
refreshed	-1.311435103	0.216405196	8.07E+03	12	38.91666667	18.34249083	37299	45.86200702	19.51221258
close	1.24209149	0.21755923	8.12E+03	87	48.14942529	17.20906247	37225	45.85431833	19.51671555
ago	1.251222474	0.218104986	8.14E+03	41	49.53658537	18.82564416	37270	45.85572847	19.51261794
them	1.23369244	0.218193077	8.15E+03	326	47.16871166	19.25790314	37014	45.84692279	19.51445624
laying	-1.311364179	0.219019931	8.17E+03	11	39.54545455	15.97099644	37300	45.86163539	19.51283736
provided	-1.279221271	0.2190394	8.17E+03	17	40.52941176	17.1832682	37294	45.86220304	19.51288303
expect	1.347484493	0.219785128	8.20E+03	8	54.25	17.61290112	37303	45.85797389	19.51222762
law	-1.264390849	0.219927367	8.21E+03	22	40.59090909	19.55129783	37289	45.86288182	19.51183353
tired	-1.268244167	0.221787232	8.28E+03	18	40.22222222	18.86345847	37293	45.8624943	19.51217305
holidays	1.29364107	0.222278751	8.29E+03	12	53.58333333	20.68578051	37299	45.8572884	19.51142701
everything	1.227274702	0.222369424	8.30E+03	109	47.96330275	17.91488446	37203	45.85372147	19.51613903
brighten	-1.267313491	0.223146663	8.33E+03	17	41.58823529	13.89720666	37294	45.86172038	19.5141246
bring	1.242517424	0.223342388	8.33E+03	32	49.625	17.14407638	37280	45.85724249	19.51402121
catching	1.296585367	0.223868973	8.35E+03	11	52.09090909	15.94022927	37300	45.85793566	19.51285199
clients	1.246512792	0.224115994	8.36E+03	26	50.96153846	20.87387031	37286	45.85713136	19.51140476
school	-1.216464174	0.224705386	8.39E+03	314	44.66878981	17.38876599	37005	45.86888258	19.52838294
julie	-1.328780175	0.22558124	8.42E+03	8	36.375	20.19149397	37303	45.86180736	19.5116513
trying	-1.223690099	0.22567892	8.42E+03	63	43.23809524	17.01490266	37248	45.86420747	19.51586776
didnt	-1.213028723	0.226241473	8.44E+03	252	44.48015873	18.1396641	37068	45.87172224	19.52125986
far	-1.228062887	0.226583815	8.45E+03	41	42.26829268	18.73235755	37271	45.86313756	19.51279868
stronger	1.324363389	0.226962466	8.47E+03	8	54	17.38636576	37303	45.8580275	19.51228846
prayer	-1.304494083	0.228320152	8.52E+03	9	38.11111111	17.82164726	37302	45.86164281	19.51225106
grandma	-1.239406927	0.229530338	8.56E+03	21	39.76190476	22.5541676	37290	45.86320729	19.50997975
her	1.20187518	0.229872358	8.59E+03	598	46.79765886	18.92409756	36784	45.8595585	19.5238626
living	-1.205102824	0.230148948	8.59E+03	143	44.1048951	17.4387109	37168	45.86652497	19.51947067
motivation	-1.286299368	0.230420332	8.60E+03	10	38.8	17.35767522	37301	45.86166591	19.51242417
breaking	-1.295014216	0.231412493	8.63E+03	9	38.77777778	16.40714614	37302	45.86148196	19.51257829
dans	1.330821099	0.231539697	8.64E+03	7	51.85714286	11.92236793	37304	45.85864787	19.51308585
degree	1.281958402	0.231873043	8.65E+03	10	52.9	17.36823409	37301	45.85788585	19.5124238
manager	-1.224420663	0.232662034	8.68E+03	25	40.96	20.01557727	37286	45.86305852	19.51153455
best	-1.195139625	0.233362465	8.71E+03	211	44.38862559	17.93136819	37108	45.86892314	19.51924714
visiting	-1.239822564	0.234073023	8.73E+03	16	39.5	20.52315765	37295	45.86250168	19.5114135
du	1.301355054	0.23431458	8.74E+03	8	55.625	21.22624723	37304	45.85795089	19.51122466
purchase	1.22803197	0.236150384	8.81E+03	18	51.38888889	19.10386129	37294	45.85788599	19.51240338
does	-1.194935397	0.236311282	8.82E+03	68	42.88235294	20.56771083	37243	45.86520957	19.50990968
henry	-1.389335641	0.237051123	8.84E+03	5	34.2	18.7669923	37306	45.86133598	19.51188689
snowed	1.307462639	0.238902225	8.91E+03	7	55.57142857	19.6541526	37304	45.85795089	19.51179897
road	1.215440906	0.239888	8.95E+03	19	52.10526316	22.40509549	37292	45.85659123	19.51026602
birds	1.242090645	0.240010655	8.96E+03	12	51.83333333	16.66151436	37299	45.85785142	19.51276053
money	1.176499221	0.240898336	8.99E+03	185	47.44864865	18.37882793	37130	45.85445731	19.51843788
concerned	-1.232526958	0.241333513	9.00E+03	13	40.07692308	16.91873487	37298	45.86178884	19.51275569
anxiety	-1.196872507	0.241358986	9.01E+03	29	42.89655172	13.33187595	37282	45.86207821	19.51600664
pain	-1.183449678	0.241895131	9.03E+03	54	42.88888889	18.464312	37259	45.86491854	19.51339238
erin	-1.297985765	0.241911512	9.03E+03	7	39.71428571	12.5261631	37304	45.86092644	19.51301636
update	1.326411852	0.242045473	9.03E+03	6	58.66666667	23.65304772	37305	45.85771344	19.51098545
up	-1.167926631	0.243007826	9.09E+03	1491	45.30784708	18.99409478	35898	45.89484094	19.53689396
grata	1.368236761	0.243021939	9.07E+03	5	54.4	13.95707706	37306	45.85862864	19.51253582
realized	-1.202035151	0.243374327	9.08E+03	21	40.71428571	19.6217809	37291	45.86262101	19.51157505
thing	-1.166993556	0.243775088	9.10E+03	482	44.87344398	18.71780146	36843	45.87544445	19.52116899
including	-1.216341709	0.243955815	9.10E+03	15	37.86666667	25.45827586	37296	45.86298799	19.50904436
wanted	-1.170797102	0.244265134	9.11E+03	108	43.74074074	18.85030572	37208	45.86771662	19.51396477
used	1.175747862	0.244399346	9.12E+03	60	48.5	17.40981605	37252	45.85471921	19.51548887
joking	-1.317189127	0.244886541	9.14E+03	6	36.16666667	18.02683185	37305	45.86133226	19.5120797
came	-1.164538567	0.245456554	9.16E+03	220	44.4	18.65779306	37094	45.86962851	19.51765397
desire	1.253025825	0.245508008	9.16E+03	9	49.77777778	9.377869931	37302	45.85882794	19.51378958
huge	1.187813788	0.246510627	9.20E+03	25	50.04	17.60085225	37286	45.85697044	19.51314513
empty	1.282857206	0.246839287	9.21E+03	7	53.28571429	15.31572488	37304	45.8583798	19.51261268
by	1.159667566	0.246876365	9.21E+03	391	46.91304348	18.03081717	36925	45.84904536	19.52741447
laundry	-1.169773932	0.247116812	9.22E+03	56	43.17857143	17.16138068	37255	45.86380352	19.5152596
cuddling	1.176286813	0.247181372	9.22E+03	37	49.24324324	17.50302419	37274	45.85641466	19.51382465
wake	1.161623782	0.247657053	9.24E+03	122	47.74590164	17.95842834	37189	45.85358574	19.51682942
choose	1.236190449	0.247665111	9.24E+03	10	54.7	22.61783957	37301	45.85740329	19.51092945
eric	-1.235960086	0.247741393	9.24E+03	10	38.5	18.83407078	37302	45.8622594	19.51205413
beauty	1.205404655	0.248007591	9.25E+03	15	51.4	17.80369143	37296	45.85754505	19.51257231
week	1.15999984	0.248278414	9.26E+03	124	47.75	18.16439159	37191	45.85415826	19.51586041
patients	1.218832351	0.248351456	9.27E+03	12	49.75	11.05461648	37299	45.85852168	19.51410435
mike	1.16771392	0.248794305	9.28E+03	48	48.89583333	18.01446178	37265	45.85729237	19.51428166
promotion	1.256163184	0.24933759	9.30E+03	8	54.125	18.61211203	37303	45.8580007	19.512065
chris	-1.168968882	0.249496456	9.31E+03	40	42.275	19.40524315	37271	45.86362051	19.51203339
organize	1.213786789	0.250222151	9.34E+03	12	51.33333333	15.62243918	37299	45.85801228	19.51306124
month	1.164625484	0.251410299	9.38E+03	39	49.02564103	16.98216895	37272	45.85646061	19.51441869
seen	-1.175921641	0.251641058	9.39E+03	24	40.95833333	20.42691993	37287	45.8629281	19.51130153
succeed	-1.235205047	0.251787569	9.39E+03	9	35.55555556	25.03053691	37302	45.8622594	19.51026789
currently	1.203570727	0.251946329	9.40E+03	13	52.46153846	19.78052655	37298	45.85747225	19.51179918
tough	1.184367185	0.25254671	9.42E+03	18	51.16666667	19.0147002	37293	45.85721181	19.51215092
share	-1.151721798	0.253078112	9.44E+03	76	43.34210526	19.0756757	37235	45.86491205	19.51281287
sitting	1.180250849	0.253236854	9.45E+03	19	49.89473684	14.90300021	37292	45.85771747	19.51402481
understanding	-1.147077353	0.254516039	9.50E+03	87	43.47126437	19.44451802	37224	45.86535568	19.51208928
proud	-1.147007423	0.256324683	9.56E+03	56	43.23214286	17.14535831	37258	45.86266037	19.51492315
reconnected	1.235821814	0.256373403	9.57E+03	8	56.125	23.49734028	37303	45.85757178	19.51087202
ways	-1.154732497	0.25647232	9.57E+03	34	42.61764706	16.37813529	37278	45.86319009	19.51452133
first	-1.135865965	0.25648111	9.57E+03	563	44.97158082	18.73478245	36765	45.87586019	19.52246893
spend	1.136892774	0.25693499	9.59E+03	200	47.39	19.08636547	37114	45.85132295	19.51382352
both	-1.140655828	0.257092981	9.59E+03	89	43.52808989	19.30384435	37224	45.86495272	19.51198254
itself	-1.395233102	0.25717492	9.60E+03	4	40.5	7.681145748	37307	45.86034792	19.51285951
rachel	-1.174750192	0.258393687	9.64E+03	16	39.75	20.80865205	37295	45.86239442	19.51132617
flowers	1.149820317	0.258727568	9.65E+03	33	50.33333333	22.36720069	37279	45.85485126	19.50981297
jennifer	-1.212875359	0.259742162	9.69E+03	9	40.22222222	13.94433378	37302	45.86113345	19.51310271
con	1.160461665	0.260202119	9.71E+03	20	49.3	13.25498913	37294	45.85850271	19.51431177
hurting	-1.211440963	0.260257639	9.71E+03	9	40.55555556	13.13498298	37302	45.86105303	19.5132457
spent	1.131874902	0.260326595	9.71E+03	103	48.04854369	19.63309463	37212	45.85593357	19.51185249
kitties	-1.162872597	0.260931006	9.74E+03	18	40.38888889	19.9650839	37293	45.86241386	19.51169629
cleaner	-1.303209316	0.262438364	9.79E+03	5	34.6	19.32097306	37306	45.86128237	19.5118604
works	-1.133751309	0.262884616	9.81E+03	46	42.93478261	17.5060652	37265	45.86338387	19.51430257
tail	1.538201665	0.263759208	9.84E+03	3	54	9.16515139	37308	45.85911869	19.51254656
had	-1.118062838	0.263851021	9.86E+03	821	45.17174178	18.04813295	36535	45.88520597	19.53929787
stranger	1.191294336	0.263995807	9.85E+03	10	55	24.26703296	37301	45.85732286	19.51041426
meu	-1.297262421	0.264281733	9.86E+03	5	35.8	17.34070356	37306	45.86112154	19.51214776
improve	-1.166199373	0.2644608	9.87E+03	14	40.85714286	16.05211293	37297	45.86165107	19.5131338
dress	-1.136891711	0.265207034	9.90E+03	29	41.44827586	20.90042072	37286	45.86217347	19.51049804
unemployed	-1.162094033	0.266072902	9.93E+03	14	39.85714286	19.3305543	37297	45.86202644	19.51199182
especially	1.123502211	0.266166552	9.93E+03	55	48	14.12903499	37257	45.85653703	19.51857098
next	1.116049419	0.266474286	9.94E+03	129	47.59689922	17.7127776	37184	45.85273236	19.51799125
notice	1.165019695	0.266633609	9.95E+03	13	52.38461538	20.19710566	37298	45.85749906	19.51167089
doggies	1.289221527	0.266810602	9.95E+03	5	59.8	24.18057071	37306	45.85790489	19.5110475
hanging	1.143359521	0.267062602	9.96E+03	20	49.45	14.04307284	37291	45.85784774	19.51449424
hasnt	-1.163910441	0.267069519	9.96E+03	13	38.30769231	23.40008766	37298	45.86240549	19.51039032
stuck	-1.136903363	0.267271737	9.97E+03	24	41.125	20.40952996	37287	45.86282082	19.51133926
bed	-1.110142585	0.268092112	1.00E+04	229	44.4628821	19.09773277	37084	45.86840686	19.51504365
snuggled	-1.189393849	0.26836937	1.00E+04	9	38.22222222	19.26640715	37302	45.861616	19.51196714
niece	-1.137390319	0.268803862	1.00E+04	21	41	19.58570908	37290	45.86251006	19.51189501
location	-1.163774777	0.269124412	1.00E+04	12	38.66666667	21.41508955	37299	45.86208746	19.51126021
dry	1.153032579	0.269640789	1.01E+04	14	51.57142857	18.53775476	37297	45.8576293	19.51229277
thanks	1.115405234	0.270102345	1.01E+04	50	48.88	19.1573932	37263	45.85596973	19.5119302
yesterday	-1.10496723	0.270511712	1.01E+04	197	44.44162437	18.04707262	37116	45.86679599	19.51946454
dryer	-1.238266694	0.270561993	1.01E+04	6	37	17.52712184	37305	45.86119823	19.51220446
supporting	1.121608227	0.270629443	1.01E+04	32	50	20.89142439	37279	45.85621932	19.51071063
couple	-1.114856034	0.27068688	1.01E+04	47	42.85106383	18.51201575	37264	45.86356805	19.51318566
stick	1.177809958	0.27270104	1.02E+04	9	52.88888889	17.90561675	37302	45.85807731	19.51230033
jobs	-1.124717826	0.27337707	1.02E+04	22	42.13636364	15.52968112	37289	45.86197002	19.51407971
saying	1.107238901	0.273693789	1.02E+04	49	48.89795918	19.22481567	37263	45.85497679	19.51268275
don	1.157143859	0.274062807	1.02E+04	11	49.90909091	11.60564126	37301	45.85828798	19.5136612
pictures	-1.119711671	0.274374227	1.02E+04	24	42	16.89095462	37287	45.86225762	19.51353792
bear	1.33320081	0.27464779	1.02E+04	4	59.75	20.83866598	37307	45.85828397	19.51163503
feet	1.172544074	0.274681746	1.02E+04	9	51.66666667	14.85765796	37302	45.85837221	19.51294616
hit	-1.14452084	0.274709758	1.02E+04	13	39.38461538	20.40236286	37298	45.86203014	19.51160795
broken	-1.122118649	0.275087475	1.03E+04	21	41.28571429	18.68460023	37290	45.86234916	19.5124079
jenny	-1.200078318	0.275320511	1.03E+04	7	37.57142857	18.27436404	37304	45.86132854	19.51213789
tank	1.146973146	0.275711333	1.03E+04	12	51.91666667	18.29286166	37301	45.85874373	19.51223629
hug	-1.097582087	0.276187168	1.03E+04	70	43.4	18.76892282	37242	45.86472262	19.5131739
laura	1.140584369	0.276282587	1.03E+04	13	52.46153846	20.87109398	37299	45.85814633	19.5116064
amazing	1.091223814	0.276684162	1.03E+04	173	47.35260116	18.02928679	37145	45.85273927	19.51719814
fan	1.256235364	0.277358287	1.03E+04	5	53.2	13.06522101	37306	45.85878947	19.51266749
kitty	-1.111725534	0.277729201	1.04E+04	24	41.20833333	20.50446222	37287	45.86276718	19.51129078
susan	-1.32046889	0.278354234	1.04E+04	4	35.25	16.07015868	37307	45.86091082	19.51221856
workers	1.174434104	0.278574506	1.04E+04	8	50.5	11.1739493	37303	45.85877811	19.51338751
dad	-1.086941671	0.278595988	1.04E+04	170	44.25882353	19.25638475	37144	45.86789253	19.51323126
mr	-1.172857869	0.279201116	1.04E+04	8	37	21.36753211	37304	45.86122132	19.51141307
friends	1.081240199	0.279900679	1.05E+04	801	46.56054931	18.45424454	36537	45.8469223	19.53335256
thankful	1.078414549	0.282222823	1.05E+04	188	47.33510638	18.76763175	37130	45.85496903	19.51651735
cheerful	1.202599121	0.282953329	1.06E+04	6	55.66666667	19.97665304	37305	45.85819595	19.51181605
shift	1.133572969	0.283395433	1.06E+04	11	51.27272727	15.83724035	37301	45.85858288	19.51284242
ceiling	-1.177884841	0.283421026	1.06E+04	7	38	17.65408357	37305	45.86047447	19.51257366
matt	1.099402685	0.283458048	1.06E+04	23	49.65217391	16.54637751	37288	45.85743403	19.5136649
cleaning	1.080926638	0.283647642	1.06E+04	67	48.26865672	18.25541189	37244	45.8554398	19.51416302
kid	-1.13236806	0.283878039	1.06E+04	11	40.45454545	15.83264751	37300	45.86136729	19.51294812
picking	-1.110158006	0.284397553	1.06E+04	16	40.25	20.21715443	37295	45.86217992	19.51164073
encourage	-1.111784266	0.284948485	1.06E+04	15	39.26666667	22.97348368	37296	45.86242492	19.51041269
gotten	-1.102427187	0.285621611	1.07E+04	18	41.22222222	17.85087098	37293	45.86201164	19.51273447
weight	-1.098179503	0.285833104	1.07E+04	20	41.2	18.9808768	37291	45.8622724	19.51224398
treatment	1.169042979	0.286707433	1.07E+04	7	54.14285714	18.74769827	37304	45.85821896	19.51206608
about	1.065705011	0.286771052	1.07E+04	1115	46.41973094	17.43259823	36279	45.85269715	19.56438805
customers	-1.100168893	0.287516744	1.07E+04	17	41.35294118	16.89282827	37294	45.86182764	19.5130865
filling	-1.225472555	0.287604025	1.07E+04	5	34.2	21.27674787	37306	45.86133598	19.51161074
honey	1.138430003	0.287853273	1.07E+04	9	51.22222222	14.13132847	37302	45.85847944	19.51309257
skills	-1.087352368	0.288635811	1.08E+04	23	41.56521739	18.9468781	37288	45.86242223	19.51231255
paper	-1.086051063	0.288682875	1.08E+04	24	42.625	14.59247126	37287	45.86185534	19.51475483
walks	1.119999737	0.288841711	1.08E+04	11	49.45454545	10.64296609	37300	45.85871314	19.51401518
interact	-1.163336907	0.288848878	1.08E+04	7	36.14285714	22.10149747	37304	45.86159661	19.51137727
adore	1.185649806	0.28899478	1.08E+04	6	52.16666667	13.02945381	37305	45.85875888	19.51283608
delicious	1.068006466	0.289449502	1.08E+04	66	48.07575758	16.86627094	37245	45.85584642	19.5163565
reached	-1.160381654	0.289956844	1.08E+04	7	37.42857143	19.22547913	37304	45.86135535	19.51197939
nap	1.068940615	0.291044076	1.09E+04	44	48.75	17.93674285	37269	45.85749551	19.51392542
boyfriends	1.11426434	0.291212075	1.09E+04	11	51.90909091	18.008079	37300	45.85798928	19.51238659
raising	-1.212804545	0.291900474	1.09E+04	5	38	14.49137675	37306	45.86082668	19.51253238
forgiving	-1.139481183	0.29197062	1.09E+04	8	38.625	17.95977649	37303	45.86132483	19.51226752
tasty	1.096778856	0.29262765	1.09E+04	14	52.21428571	21.68011699	37298	45.85830339	19.51162865
enjoys	1.12605631	0.292778127	1.09E+04	9	56.66666667	28.7967012	37302	45.85716584	19.50908799
park	-1.068080317	0.293217642	1.09E+04	34	42.70588235	17.2231863	37278	45.8625731	19.51369424
brandon	-1.208846654	0.293251252	1.09E+04	5	39	12.68857754	37306	45.86069265	19.51271757
hes	1.062441278	0.294238631	1.10E+04	42	48.95238095	18.87436302	37269	45.85628807	19.51268929
have	-1.04886428	0.294316712	1.11E+04	2786	45.54055994	18.10428515	34861	45.91681248	19.61400962
only	1.05218948	0.295613831	1.10E+04	88	48.14772727	20.42453999	37223	45.85436424	19.50977534
should	1.092869284	0.295887363	1.10E+04	13	51.15384615	17.46828628	37298	45.85792804	19.51264826
facebook	1.055537504	0.295950124	1.10E+04	54	48.35185185	17.35659019	37258	45.85646036	19.51476506
type	-1.14212817	0.296906659	1.11E+04	7	37.28571429	19.8638221	37304	45.86138216	19.51186486
tomorrow	-1.056524494	0.2973866	1.11E+04	39	42.43589744	20.24948976	37272	45.86335587	19.51119496
puppies	1.079497538	0.297402047	1.11E+04	16	50.75	18.12364937	37295	45.85767529	19.51255111
cream	-1.114112438	0.297565471	1.11E+04	9	38.66666667	19.37137063	37302	45.86150877	19.51198562
soul	1.191900804	0.299166864	1.12E+04	5	57.4	21.65178976	37306	45.85822656	19.51157603
favourite	1.094889426	0.299208884	1.12E+04	11	50.72727273	14.74510705	37300	45.8583378	19.51321833
hugs	-1.050608929	0.300424791	1.12E+04	37	42.64864865	18.59990474	37274	45.86296078	19.51287354
til	1.154585068	0.300427997	1.12E+04	6	55.83333333	21.16049779	37306	45.85849461	19.51147494
play	1.041778415	0.300561018	1.12E+04	83	47.96385542	18.42416612	37230	45.85441848	19.51409592
well	1.036668995	0.300571601	1.12E+04	360	46.82222222	17.66830111	36963	45.85114845	19.5290744
committed	-1.095102448	0.301893179	1.13E+04	10	39.7	17.78919772	37301	45.86142463	19.51241215
soft	-1.128925749	0.302018098	1.13E+04	7	37.85714286	18.75658614	37304	45.86127493	19.51208667
piece	1.100494954	0.3031135	1.13E+04	9	54.11111111	22.49691337	37302	45.85778242	19.51116533
willing	1.038424356	0.303297142	1.13E+04	60	48.58333333	20.33056617	37253	45.85579685	19.51049143
says	-1.083927549	0.303812212	1.13E+04	11	41.09090909	14.59078165	37301	45.86067398	19.51323942
listening	-1.035164556	0.30435566	1.14E+04	67	43.47761194	18.85218274	37244	45.86405864	19.51316339
aaron	-1.142847151	0.304807012	1.14E+04	6	40.66666667	11.12954027	37305	45.8606085	19.51304652
drama	1.052676152	0.305672066	1.14E+04	20	49.55	15.67926891	37291	45.85779411	19.51384934
there	-1.0249701	0.306143659	1.14E+04	318	44.81446541	18.24716852	37002	45.86841252	19.5223373
woman	-1.044193972	0.306374551	1.14E+04	26	41.80769231	19.78892464	37287	45.86150669	19.51196571
judge	-1.1386142	0.306447553	1.14E+04	6	36	21.21320344	37305	45.86135907	19.51163682
managed	-1.030470698	0.306982516	1.15E+04	60	43.16666667	20.26198467	37252	45.86419521	19.5105102
keys	1.168878328	0.307346673	1.15E+04	5	57.2	21.69562168	37306	45.85825336	19.51158653
doctors	-1.059342346	0.307360855	1.15E+04	15	41.2	17.03861161	37296	45.86164736	19.51292132
decorations	1.168537152	0.30746152	1.15E+04	5	54.8	17.10847743	37306	45.85857503	19.51224281
views	-1.901375903	0.308146064	1.15E+04	2	33.5	9.192388155	37309	45.86043582	19.51226909
childhood	1.052575972	0.30816278	1.15E+04	17	51.70588235	22.9067804	37294	45.85710838	19.51029294
